layer,benchmark,model,score,error,neurons
encoder.albert_layer_groups.11,Fedorenko2016v3-encoding,albert-base-v2,0.003662251,0.032938725,768.0
embeddings,Fedorenko2016v3-encoding,albert-base-v2-untrained,0.348859551,0.307154576,768.0
encoder.albert_layer_groups.0,Fedorenko2016v3-encoding,albert-base-v2-untrained,0.0300039,0.051961765,768.0
encoder.albert_layer_groups.1,Fedorenko2016v3-encoding,albert-base-v2-untrained,0.090803903,0.105210946,768.0
encoder.albert_layer_groups.2,Fedorenko2016v3-encoding,albert-base-v2-untrained,0.109075326,0.081819591,768.0
encoder.albert_layer_groups.3,Fedorenko2016v3-encoding,albert-base-v2-untrained,0.165497333,0.055931182,768.0
encoder.albert_layer_groups.4,Fedorenko2016v3-encoding,albert-base-v2-untrained,-0.009790718,0.057025941,768.0
encoder.albert_layer_groups.5,Fedorenko2016v3-encoding,albert-base-v2-untrained,-0.001226608,0.101903246,768.0
encoder.albert_layer_groups.6,Fedorenko2016v3-encoding,albert-base-v2-untrained,0.036031173,0.059693686,768.0
encoder.albert_layer_groups.7,Fedorenko2016v3-encoding,albert-base-v2-untrained,0.014604845,0.07293214,768.0
encoder.albert_layer_groups.8,Fedorenko2016v3-encoding,albert-base-v2-untrained,0.185499047,0.092749256,768.0
encoder.albert_layer_groups.9,Fedorenko2016v3-encoding,albert-base-v2-untrained,0.110953929,0.043242864,768.0
encoder.albert_layer_groups.10,Fedorenko2016v3-encoding,albert-base-v2-untrained,0.050745738,0.136464361,768.0
encoder.albert_layer_groups.11,Fedorenko2016v3-encoding,albert-base-v2-untrained,0.236932439,0.041071856,768.0
embeddings,Fedorenko2016v3-encoding,albert-large-v1,0.439500645,0.479037731,1024.0
encoder.albert_layer_groups.0,Fedorenko2016v3-encoding,albert-large-v1,0.07449726,0.083991196,1024.0
encoder.albert_layer_groups.1,Fedorenko2016v3-encoding,albert-large-v1,0.009758788,0.084545835,1024.0
encoder.albert_layer_groups.2,Fedorenko2016v3-encoding,albert-large-v1,-0.005768543,0.049436857,1024.0
encoder.albert_layer_groups.3,Fedorenko2016v3-encoding,albert-large-v1,0.025661662,0.171808797,1024.0
encoder.albert_layer_groups.4,Fedorenko2016v3-encoding,albert-large-v1,0.000131059,0.054232485,1024.0
encoder.albert_layer_groups.5,Fedorenko2016v3-encoding,albert-large-v1,-0.079788288,0.020167149,1024.0
encoder.albert_layer_groups.6,Fedorenko2016v3-encoding,albert-large-v1,-0.019187916,0.113145481,1024.0
encoder.albert_layer_groups.7,Fedorenko2016v3-encoding,albert-large-v1,-0.196032853,0.146118833,1024.0
encoder.albert_layer_groups.8,Fedorenko2016v3-encoding,albert-large-v1,-0.009238038,0.0439457,1024.0
encoder.albert_layer_groups.9,Fedorenko2016v3-encoding,albert-large-v1,0.014362274,0.110651474,1024.0
encoder.albert_layer_groups.10,Fedorenko2016v3-encoding,albert-large-v1,-0.002061451,0.168593182,1024.0
encoder.albert_layer_groups.11,Fedorenko2016v3-encoding,albert-large-v1,0.020333605,0.058271233,1024.0
encoder.albert_layer_groups.12,Fedorenko2016v3-encoding,albert-large-v1,-0.00649118,0.035601649,1024.0
encoder.albert_layer_groups.13,Fedorenko2016v3-encoding,albert-large-v1,0.005252527,0.156748772,1024.0
encoder.albert_layer_groups.14,Fedorenko2016v3-encoding,albert-large-v1,0.025133254,0.013473758,1024.0
encoder.albert_layer_groups.15,Fedorenko2016v3-encoding,albert-large-v1,-0.029278483,0.077062766,1024.0
encoder.albert_layer_groups.16,Fedorenko2016v3-encoding,albert-large-v1,0.039866919,0.02507457,1024.0
encoder.albert_layer_groups.17,Fedorenko2016v3-encoding,albert-large-v1,-0.044655879,0.079041679,1024.0
encoder.albert_layer_groups.18,Fedorenko2016v3-encoding,albert-large-v1,-0.020204751,0.092043391,1024.0
encoder.albert_layer_groups.19,Fedorenko2016v3-encoding,albert-large-v1,-0.107463693,0.090595731,1024.0
encoder.albert_layer_groups.20,Fedorenko2016v3-encoding,albert-large-v1,0.018197378,0.11456122,1024.0
encoder.albert_layer_groups.21,Fedorenko2016v3-encoding,albert-large-v1,-0.001856719,0.049871032,1024.0
encoder.albert_layer_groups.22,Fedorenko2016v3-encoding,albert-large-v1,-0.009443966,0.042553214,1024.0
encoder.albert_layer_groups.23,Fedorenko2016v3-encoding,albert-large-v1,-0.012209022,0.041784567,1024.0
embeddings,Fedorenko2016v3-encoding,albert-large-v1-untrained,0.406394386,0.464582909,1024.0
encoder.albert_layer_groups.0,Fedorenko2016v3-encoding,albert-large-v1-untrained,0.087137807,0.029428018,1024.0
encoder.albert_layer_groups.1,Fedorenko2016v3-encoding,albert-large-v1-untrained,-0.05368314,0.044012251,1024.0
encoder.albert_layer_groups.2,Fedorenko2016v3-encoding,albert-large-v1-untrained,0.02271771,0.041435624,1024.0
encoder.albert_layer_groups.3,Fedorenko2016v3-encoding,albert-large-v1-untrained,0.048403076,0.118767409,1024.0
encoder.albert_layer_groups.4,Fedorenko2016v3-encoding,albert-large-v1-untrained,-0.02695887,0.029349164,1024.0
encoder.albert_layer_groups.5,Fedorenko2016v3-encoding,albert-large-v1-untrained,-0.064581088,0.033398441,1024.0
encoder.albert_layer_groups.6,Fedorenko2016v3-encoding,albert-large-v1-untrained,0.03433101,0.069496185,1024.0
encoder.albert_layer_groups.7,Fedorenko2016v3-encoding,albert-large-v1-untrained,0.08721888,0.006341341,1024.0
encoder.albert_layer_groups.8,Fedorenko2016v3-encoding,albert-large-v1-untrained,0.161837618,0.043694852,1024.0
encoder.albert_layer_groups.9,Fedorenko2016v3-encoding,albert-large-v1-untrained,0.224718779,0.250258,1024.0
encoder.albert_layer_groups.10,Fedorenko2016v3-encoding,albert-large-v1-untrained,0.247720435,0.165911733,1024.0
encoder.albert_layer_groups.11,Fedorenko2016v3-encoding,albert-large-v1-untrained,0.233071752,0.225938742,1024.0
encoder.albert_layer_groups.12,Fedorenko2016v3-encoding,albert-large-v1-untrained,0.828766887,0.225093955,1024.0
encoder.albert_layer_groups.13,Fedorenko2016v3-encoding,albert-large-v1-untrained,0.662124691,0.064652838,1024.0
encoder.albert_layer_groups.14,Fedorenko2016v3-encoding,albert-large-v1-untrained,0.59979051,0.124925945,1024.0
encoder.albert_layer_groups.15,Fedorenko2016v3-encoding,albert-large-v1-untrained,0.43122046,0.13293162,1024.0
encoder.albert_layer_groups.16,Fedorenko2016v3-encoding,albert-large-v1-untrained,0.791402933,0.173728118,1024.0
encoder.albert_layer_groups.17,Fedorenko2016v3-encoding,albert-large-v1-untrained,0.816936212,0.079820698,1024.0
encoder.albert_layer_groups.18,Fedorenko2016v3-encoding,albert-large-v1-untrained,0.371774697,0.157382581,1024.0
encoder.albert_layer_groups.19,Fedorenko2016v3-encoding,albert-large-v1-untrained,0.681198033,0.033309892,1024.0
encoder.albert_layer_groups.20,Fedorenko2016v3-encoding,albert-large-v1-untrained,0.563998042,0.095974837,1024.0
encoder.albert_layer_groups.21,Fedorenko2016v3-encoding,albert-large-v1-untrained,0.539040261,0.164031775,1024.0
encoder.albert_layer_groups.22,Fedorenko2016v3-encoding,albert-large-v1-untrained,0.57096643,0.133339184,1024.0
encoder.albert_layer_groups.23,Fedorenko2016v3-encoding,albert-large-v1-untrained,0.118025321,0.045129062,1024.0
embeddings,Fedorenko2016v3-encoding,albert-large-v2,0.577889381,0.191067692,1024.0
encoder.albert_layer_groups.0,Fedorenko2016v3-encoding,albert-large-v2,-0.01505739,0.019491942,1024.0
encoder.albert_layer_groups.1,Fedorenko2016v3-encoding,albert-large-v2,0.04436912,0.053534463,1024.0
encoder.albert_layer_groups.2,Fedorenko2016v3-encoding,albert-large-v2,0.101969796,0.113928727,1024.0
encoder.albert_layer_groups.3,Fedorenko2016v3-encoding,albert-large-v2,-0.051933818,0.145479952,1024.0
encoder.albert_layer_groups.4,Fedorenko2016v3-encoding,albert-large-v2,-0.074330378,0.147368212,1024.0
encoder.albert_layer_groups.5,Fedorenko2016v3-encoding,albert-large-v2,-0.011037554,0.01771781,1024.0
encoder.albert_layer_groups.6,Fedorenko2016v3-encoding,albert-large-v2,0.028938164,0.083314765,1024.0
encoder.albert_layer_groups.7,Fedorenko2016v3-encoding,albert-large-v2,0.026467565,0.147588225,1024.0
encoder.albert_layer_groups.8,Fedorenko2016v3-encoding,albert-large-v2,-0.015575009,0.035223059,1024.0
encoder.albert_layer_groups.9,Fedorenko2016v3-encoding,albert-large-v2,-0.126534325,0.26524641,1024.0
encoder.albert_layer_groups.10,Fedorenko2016v3-encoding,albert-large-v2,-0.011395067,0.098218692,1024.0
encoder.albert_layer_groups.11,Fedorenko2016v3-encoding,albert-large-v2,-0.028733133,0.142366048,1024.0
encoder.albert_layer_groups.12,Fedorenko2016v3-encoding,albert-large-v2,0.010983922,0.036894645,1024.0
encoder.albert_layer_groups.13,Fedorenko2016v3-encoding,albert-large-v2,0.010991961,0.031095994,1024.0
encoder.albert_layer_groups.14,Fedorenko2016v3-encoding,albert-large-v2,0.008477573,0.007102885,1024.0
encoder.albert_layer_groups.15,Fedorenko2016v3-encoding,albert-large-v2,0.068065974,0.065543403,1024.0
encoder.albert_layer_groups.16,Fedorenko2016v3-encoding,albert-large-v2,-0.027070264,0.075159287,1024.0
encoder.albert_layer_groups.17,Fedorenko2016v3-encoding,albert-large-v2,0.069422068,0.124589263,1024.0
encoder.albert_layer_groups.18,Fedorenko2016v3-encoding,albert-large-v2,-0.03637111,0.117765728,1024.0
encoder.albert_layer_groups.19,Fedorenko2016v3-encoding,albert-large-v2,0.029717902,0.074045673,1024.0
encoder.albert_layer_groups.20,Fedorenko2016v3-encoding,albert-large-v2,0.061301695,0.028779443,1024.0
encoder.albert_layer_groups.21,Fedorenko2016v3-encoding,albert-large-v2,-0.05369511,0.064463031,1024.0
encoder.albert_layer_groups.22,Fedorenko2016v3-encoding,albert-large-v2,0.028872441,0.009327752,1024.0
encoder.albert_layer_groups.23,Fedorenko2016v3-encoding,albert-large-v2,0.043113468,0.150645585,1024.0
embeddings,Fedorenko2016v3-encoding,albert-large-v2-untrained,0.243189104,0.284146842,1024.0
encoder.albert_layer_groups.0,Fedorenko2016v3-encoding,albert-large-v2-untrained,0.015085325,0.034216969,1024.0
encoder.albert_layer_groups.1,Fedorenko2016v3-encoding,albert-large-v2-untrained,0.01907868,0.062640437,1024.0
encoder.albert_layer_groups.2,Fedorenko2016v3-encoding,albert-large-v2-untrained,-0.006098125,0.026478438,1024.0
encoder.albert_layer_groups.3,Fedorenko2016v3-encoding,albert-large-v2-untrained,0.011601078,0.080651562,1024.0
encoder.albert_layer_groups.4,Fedorenko2016v3-encoding,albert-large-v2-untrained,0.044577893,0.100245814,1024.0
encoder.albert_layer_groups.5,Fedorenko2016v3-encoding,albert-large-v2-untrained,0.137186127,0.066905569,1024.0
encoder.albert_layer_groups.6,Fedorenko2016v3-encoding,albert-large-v2-untrained,-0.04299955,0.312350393,1024.0
encoder.albert_layer_groups.7,Fedorenko2016v3-encoding,albert-large-v2-untrained,-0.015572525,0.1412797,1024.0
encoder.albert_layer_groups.8,Fedorenko2016v3-encoding,albert-large-v2-untrained,0.254267352,0.101312488,1024.0
encoder.albert_layer_groups.9,Fedorenko2016v3-encoding,albert-large-v2-untrained,0.208641765,0.159689941,1024.0
encoder.albert_layer_groups.10,Fedorenko2016v3-encoding,albert-large-v2-untrained,0.233737589,0.048990557,1024.0
encoder.albert_layer_groups.11,Fedorenko2016v3-encoding,albert-large-v2-untrained,0.084350851,0.115575074,1024.0
encoder.albert_layer_groups.12,Fedorenko2016v3-encoding,albert-large-v2-untrained,0.12488828,0.088216926,1024.0
encoder.albert_layer_groups.13,Fedorenko2016v3-encoding,albert-large-v2-untrained,0.193068065,0.130024436,1024.0
encoder.albert_layer_groups.14,Fedorenko2016v3-encoding,albert-large-v2-untrained,0.133409341,0.166477153,1024.0
encoder.albert_layer_groups.15,Fedorenko2016v3-encoding,albert-large-v2-untrained,0.166470733,0.084302206,1024.0
encoder.albert_layer_groups.16,Fedorenko2016v3-encoding,albert-large-v2-untrained,0.279804394,0.077249349,1024.0
encoder.albert_layer_groups.17,Fedorenko2016v3-encoding,albert-large-v2-untrained,0.029034183,0.06363293,1024.0
encoder.albert_layer_groups.18,Fedorenko2016v3-encoding,albert-large-v2-untrained,0.020004755,0.045378163,1024.0
encoder.albert_layer_groups.19,Fedorenko2016v3-encoding,albert-large-v2-untrained,0.205613502,0.026267288,1024.0
encoder.albert_layer_groups.20,Fedorenko2016v3-encoding,albert-large-v2-untrained,0.077544293,0.248937101,1024.0
encoder.albert_layer_groups.21,Fedorenko2016v3-encoding,albert-large-v2-untrained,0.135916347,0.030742595,1024.0
encoder.albert_layer_groups.22,Fedorenko2016v3-encoding,albert-large-v2-untrained,0.251548549,0.080265475,1024.0
encoder.albert_layer_groups.23,Fedorenko2016v3-encoding,albert-large-v2-untrained,0.322013854,0.051491886,1024.0
embeddings,Fedorenko2016v3-encoding,albert-xlarge-v1,0.582541956,0.163087917,2048.0
encoder.albert_layer_groups.0,Fedorenko2016v3-encoding,albert-xlarge-v1,-0.000229212,0.041029763,2048.0
encoder.albert_layer_groups.1,Fedorenko2016v3-encoding,albert-xlarge-v1,-0.030347724,0.0786489,2048.0
encoder.albert_layer_groups.2,Fedorenko2016v3-encoding,albert-xlarge-v1,0.052361232,0.12543324,2048.0
encoder.albert_layer_groups.3,Fedorenko2016v3-encoding,albert-xlarge-v1,0.027872687,0.047503497,2048.0
encoder.albert_layer_groups.4,Fedorenko2016v3-encoding,albert-xlarge-v1,0.013520562,0.062597832,2048.0
encoder.albert_layer_groups.5,Fedorenko2016v3-encoding,albert-xlarge-v1,-0.069144016,0.172981968,2048.0
encoder.albert_layer_groups.6,Fedorenko2016v3-encoding,albert-xlarge-v1,-0.001813599,0.036916006,2048.0
encoder.albert_layer_groups.7,Fedorenko2016v3-encoding,albert-xlarge-v1,0.025909758,0.059735593,2048.0
encoder.albert_layer_groups.8,Fedorenko2016v3-encoding,albert-xlarge-v1,-0.047053539,0.046577694,2048.0
encoder.albert_layer_groups.9,Fedorenko2016v3-encoding,albert-xlarge-v1,-0.001240808,0.051296754,2048.0
encoder.albert_layer_groups.10,Fedorenko2016v3-encoding,albert-xlarge-v1,0.029458412,0.052458987,2048.0
encoder.albert_layer_groups.11,Fedorenko2016v3-encoding,albert-xlarge-v1,-0.022780514,0.019066306,2048.0
encoder.albert_layer_groups.12,Fedorenko2016v3-encoding,albert-xlarge-v1,-0.031493469,0.103190289,2048.0
encoder.albert_layer_groups.13,Fedorenko2016v3-encoding,albert-xlarge-v1,-0.025858505,0.023724506,2048.0
encoder.albert_layer_groups.14,Fedorenko2016v3-encoding,albert-xlarge-v1,-0.022478498,0.040939471,2048.0
encoder.albert_layer_groups.15,Fedorenko2016v3-encoding,albert-xlarge-v1,0.005544188,0.021540756,2048.0
encoder.albert_layer_groups.16,Fedorenko2016v3-encoding,albert-xlarge-v1,0.001615246,0.057537601,2048.0
encoder.albert_layer_groups.17,Fedorenko2016v3-encoding,albert-xlarge-v1,0.042568764,0.013860195,2048.0
encoder.albert_layer_groups.18,Fedorenko2016v3-encoding,albert-xlarge-v1,0.001394401,0.083627891,2048.0
encoder.albert_layer_groups.19,Fedorenko2016v3-encoding,albert-xlarge-v1,-0.058544367,0.102030638,2048.0
encoder.albert_layer_groups.20,Fedorenko2016v3-encoding,albert-xlarge-v1,-0.070986828,0.143579057,2048.0
encoder.albert_layer_groups.21,Fedorenko2016v3-encoding,albert-xlarge-v1,-0.023958459,0.030718313,2048.0
encoder.albert_layer_groups.22,Fedorenko2016v3-encoding,albert-xlarge-v1,0.029091053,0.097369519,2048.0
encoder.albert_layer_groups.23,Fedorenko2016v3-encoding,albert-xlarge-v1,-0.056137622,0.074945406,2048.0
embeddings,Fedorenko2016v3-encoding,albert-xlarge-v1-untrained,0.336876145,0.084518852,2048.0
encoder.albert_layer_groups.0,Fedorenko2016v3-encoding,albert-xlarge-v1-untrained,-0.010135312,0.054704296,2048.0
encoder.albert_layer_groups.1,Fedorenko2016v3-encoding,albert-xlarge-v1-untrained,-0.01743945,0.057056433,2048.0
encoder.albert_layer_groups.2,Fedorenko2016v3-encoding,albert-xlarge-v1-untrained,0.227777083,0.057521478,2048.0
encoder.albert_layer_groups.3,Fedorenko2016v3-encoding,albert-xlarge-v1-untrained,0.054419447,0.199000176,2048.0
encoder.albert_layer_groups.4,Fedorenko2016v3-encoding,albert-xlarge-v1-untrained,0.354547463,0.175821875,2048.0
encoder.albert_layer_groups.5,Fedorenko2016v3-encoding,albert-xlarge-v1-untrained,0.478912548,0.329851941,2048.0
encoder.albert_layer_groups.6,Fedorenko2016v3-encoding,albert-xlarge-v1-untrained,0.964979118,0.182355153,2048.0
encoder.albert_layer_groups.7,Fedorenko2016v3-encoding,albert-xlarge-v1-untrained,1.329498306,0.056340177,2048.0
encoder.albert_layer_groups.8,Fedorenko2016v3-encoding,albert-xlarge-v1-untrained,0.790009374,0.422157735,2048.0
encoder.albert_layer_groups.9,Fedorenko2016v3-encoding,albert-xlarge-v1-untrained,0.620624097,0.194016184,2048.0
encoder.albert_layer_groups.10,Fedorenko2016v3-encoding,albert-xlarge-v1-untrained,0.439452827,0.162588598,2048.0
encoder.albert_layer_groups.11,Fedorenko2016v3-encoding,albert-xlarge-v1-untrained,0.305860898,0.013957962,2048.0
encoder.albert_layer_groups.12,Fedorenko2016v3-encoding,albert-xlarge-v1-untrained,0.15454254,0.05657061,2048.0
encoder.albert_layer_groups.13,Fedorenko2016v3-encoding,albert-xlarge-v1-untrained,0.391827128,0.06928635,2048.0
encoder.albert_layer_groups.14,Fedorenko2016v3-encoding,albert-xlarge-v1-untrained,0.152801303,0.053291389,2048.0
encoder.albert_layer_groups.15,Fedorenko2016v3-encoding,albert-xlarge-v1-untrained,0.42358651,0.109286922,2048.0
encoder.albert_layer_groups.16,Fedorenko2016v3-encoding,albert-xlarge-v1-untrained,0.152766464,0.058012503,2048.0
encoder.albert_layer_groups.17,Fedorenko2016v3-encoding,albert-xlarge-v1-untrained,0.149762672,0.051847947,2048.0
encoder.albert_layer_groups.18,Fedorenko2016v3-encoding,albert-xlarge-v1-untrained,0.524287421,0.041458783,2048.0
encoder.albert_layer_groups.19,Fedorenko2016v3-encoding,albert-xlarge-v1-untrained,0.221008418,0.08025583,2048.0
encoder.albert_layer_groups.20,Fedorenko2016v3-encoding,albert-xlarge-v1-untrained,0.192953771,0.062319797,2048.0
encoder.albert_layer_groups.21,Fedorenko2016v3-encoding,albert-xlarge-v1-untrained,0.577558964,0.165731553,2048.0
encoder.albert_layer_groups.22,Fedorenko2016v3-encoding,albert-xlarge-v1-untrained,0.520320377,0.232309948,2048.0
encoder.albert_layer_groups.23,Fedorenko2016v3-encoding,albert-xlarge-v1-untrained,0.246757641,0.145500891,2048.0
embeddings,Fedorenko2016v3-encoding,albert-xlarge-v2,0.646487592,0.278503146,2048.0
encoder.albert_layer_groups.0,Fedorenko2016v3-encoding,albert-xlarge-v2,0.014347399,0.081036484,2048.0
encoder.albert_layer_groups.1,Fedorenko2016v3-encoding,albert-xlarge-v2,0.046967676,0.071159999,2048.0
encoder.albert_layer_groups.2,Fedorenko2016v3-encoding,albert-xlarge-v2,0.004103049,0.029833722,2048.0
encoder.albert_layer_groups.3,Fedorenko2016v3-encoding,albert-xlarge-v2,-0.06029539,0.017530103,2048.0
encoder.albert_layer_groups.4,Fedorenko2016v3-encoding,albert-xlarge-v2,0.00524726,0.035471254,2048.0
encoder.albert_layer_groups.5,Fedorenko2016v3-encoding,albert-xlarge-v2,0.008318892,0.118929821,2048.0
encoder.albert_layer_groups.6,Fedorenko2016v3-encoding,albert-xlarge-v2,-0.051670977,0.057224951,2048.0
encoder.albert_layer_groups.7,Fedorenko2016v3-encoding,albert-xlarge-v2,-0.020082608,0.058470723,2048.0
encoder.albert_layer_groups.8,Fedorenko2016v3-encoding,albert-xlarge-v2,0.015952121,0.065454352,2048.0
encoder.albert_layer_groups.9,Fedorenko2016v3-encoding,albert-xlarge-v2,-0.004638455,0.107433023,2048.0
encoder.albert_layer_groups.10,Fedorenko2016v3-encoding,albert-xlarge-v2,0.020012962,0.071021581,2048.0
encoder.albert_layer_groups.11,Fedorenko2016v3-encoding,albert-xlarge-v2,-0.060060138,0.025665666,2048.0
encoder.albert_layer_groups.12,Fedorenko2016v3-encoding,albert-xlarge-v2,-0.035572563,0.017953947,2048.0
encoder.albert_layer_groups.13,Fedorenko2016v3-encoding,albert-xlarge-v2,0.03298222,0.138678461,2048.0
encoder.albert_layer_groups.14,Fedorenko2016v3-encoding,albert-xlarge-v2,0.017043219,0.056625837,2048.0
encoder.albert_layer_groups.15,Fedorenko2016v3-encoding,albert-xlarge-v2,-0.007328555,0.129275809,2048.0
encoder.albert_layer_groups.16,Fedorenko2016v3-encoding,albert-xlarge-v2,0.045957759,0.143894996,2048.0
encoder.albert_layer_groups.17,Fedorenko2016v3-encoding,albert-xlarge-v2,0.036773776,0.140692182,2048.0
encoder.albert_layer_groups.18,Fedorenko2016v3-encoding,albert-xlarge-v2,0.058066967,0.036197269,2048.0
encoder.albert_layer_groups.19,Fedorenko2016v3-encoding,albert-xlarge-v2,0.044006334,0.182932464,2048.0
encoder.albert_layer_groups.20,Fedorenko2016v3-encoding,albert-xlarge-v2,-0.030111993,0.04488225,2048.0
encoder.albert_layer_groups.21,Fedorenko2016v3-encoding,albert-xlarge-v2,0.128016206,0.062126745,2048.0
encoder.albert_layer_groups.22,Fedorenko2016v3-encoding,albert-xlarge-v2,0.006712715,0.09179132,2048.0
encoder.albert_layer_groups.23,Fedorenko2016v3-encoding,albert-xlarge-v2,0.016565105,0.024688231,2048.0
embeddings,Fedorenko2016v3-encoding,albert-xlarge-v2-untrained,0.295619919,0.091241823,2048.0
encoder.albert_layer_groups.0,Fedorenko2016v3-encoding,albert-xlarge-v2-untrained,0.099747708,0.047689227,2048.0
encoder.albert_layer_groups.1,Fedorenko2016v3-encoding,albert-xlarge-v2-untrained,0.066226302,0.075109602,2048.0
encoder.albert_layer_groups.2,Fedorenko2016v3-encoding,albert-xlarge-v2-untrained,0.293145575,0.09870017,2048.0
encoder.albert_layer_groups.3,Fedorenko2016v3-encoding,albert-xlarge-v2-untrained,-0.001683449,0.148222158,2048.0
encoder.albert_layer_groups.4,Fedorenko2016v3-encoding,albert-xlarge-v2-untrained,0.579259848,0.097095959,2048.0
encoder.albert_layer_groups.5,Fedorenko2016v3-encoding,albert-xlarge-v2-untrained,1.018430096,0.112562902,2048.0
encoder.albert_layer_groups.6,Fedorenko2016v3-encoding,albert-xlarge-v2-untrained,0.789656177,0.062949131,2048.0
encoder.albert_layer_groups.7,Fedorenko2016v3-encoding,albert-xlarge-v2-untrained,0.749135377,0.273875237,2048.0
encoder.albert_layer_groups.8,Fedorenko2016v3-encoding,albert-xlarge-v2-untrained,0.792972389,0.188502871,2048.0
encoder.albert_layer_groups.9,Fedorenko2016v3-encoding,albert-xlarge-v2-untrained,0.768908515,0.23036334,2048.0
encoder.albert_layer_groups.10,Fedorenko2016v3-encoding,albert-xlarge-v2-untrained,0.469283318,0.08867943,2048.0
encoder.albert_layer_groups.11,Fedorenko2016v3-encoding,albert-xlarge-v2-untrained,0.298808007,0.062567956,2048.0
encoder.albert_layer_groups.12,Fedorenko2016v3-encoding,albert-xlarge-v2-untrained,0.186309607,0.046241595,2048.0
encoder.albert_layer_groups.13,Fedorenko2016v3-encoding,albert-xlarge-v2-untrained,0.105348404,0.122737613,2048.0
encoder.albert_layer_groups.14,Fedorenko2016v3-encoding,albert-xlarge-v2-untrained,0.320048068,0.115555465,2048.0
encoder.albert_layer_groups.15,Fedorenko2016v3-encoding,albert-xlarge-v2-untrained,0.146889678,0.057890453,2048.0
encoder.albert_layer_groups.16,Fedorenko2016v3-encoding,albert-xlarge-v2-untrained,0.184525738,0.151655778,2048.0
encoder.albert_layer_groups.17,Fedorenko2016v3-encoding,albert-xlarge-v2-untrained,0.277162209,0.184994768,2048.0
encoder.albert_layer_groups.18,Fedorenko2016v3-encoding,albert-xlarge-v2-untrained,0.220602816,0.078860927,2048.0
encoder.albert_layer_groups.19,Fedorenko2016v3-encoding,albert-xlarge-v2-untrained,0.312585426,0.119629484,2048.0
encoder.albert_layer_groups.20,Fedorenko2016v3-encoding,albert-xlarge-v2-untrained,0.466832156,0.088897616,2048.0
encoder.albert_layer_groups.21,Fedorenko2016v3-encoding,albert-xlarge-v2-untrained,0.223210241,0.069309343,2048.0
encoder.albert_layer_groups.22,Fedorenko2016v3-encoding,albert-xlarge-v2-untrained,0.067266553,0.108656652,2048.0
encoder.albert_layer_groups.23,Fedorenko2016v3-encoding,albert-xlarge-v2-untrained,0.25524955,0.098219499,2048.0
embeddings,Fedorenko2016v3-encoding,albert-xxlarge-v1,0.468263741,0.200787057,4096.0
encoder.albert_layer_groups.0,Fedorenko2016v3-encoding,albert-xxlarge-v1,0.064457391,0.039738544,4096.0
encoder.albert_layer_groups.1,Fedorenko2016v3-encoding,albert-xxlarge-v1,-0.139428893,0.170886936,4096.0
encoder.albert_layer_groups.2,Fedorenko2016v3-encoding,albert-xxlarge-v1,-0.048929932,0.06830524,4096.0
encoder.albert_layer_groups.3,Fedorenko2016v3-encoding,albert-xxlarge-v1,-0.019934199,0.02918622,4096.0
encoder.albert_layer_groups.4,Fedorenko2016v3-encoding,albert-xxlarge-v1,0.015268135,0.062277916,4096.0
encoder.albert_layer_groups.5,Fedorenko2016v3-encoding,albert-xxlarge-v1,-0.019491522,0.102534495,4096.0
encoder.albert_layer_groups.6,Fedorenko2016v3-encoding,albert-xxlarge-v1,0.008486427,0.078596396,4096.0
encoder.albert_layer_groups.7,Fedorenko2016v3-encoding,albert-xxlarge-v1,-0.022502719,0.118376005,4096.0
encoder.albert_layer_groups.8,Fedorenko2016v3-encoding,albert-xxlarge-v1,0.024884656,0.102946474,4096.0
encoder.albert_layer_groups.9,Fedorenko2016v3-encoding,albert-xxlarge-v1,-0.016572455,0.066769812,4096.0
encoder.albert_layer_groups.10,Fedorenko2016v3-encoding,albert-xxlarge-v1,0.011140621,0.022070123,4096.0
encoder.albert_layer_groups.11,Fedorenko2016v3-encoding,albert-xxlarge-v1,0.041454068,0.05957983,4096.0
embeddings,Fedorenko2016v3-encoding,albert-xxlarge-v1-untrained,0.502193221,0.180888856,4096.0
encoder.albert_layer_groups.0,Fedorenko2016v3-encoding,albert-xxlarge-v1-untrained,0.047591561,0.076435424,4096.0
encoder.albert_layer_groups.1,Fedorenko2016v3-encoding,albert-xxlarge-v1-untrained,0.088554107,0.157557422,4096.0
encoder.albert_layer_groups.2,Fedorenko2016v3-encoding,albert-xxlarge-v1-untrained,0.055565683,0.115908843,4096.0
encoder.albert_layer_groups.3,Fedorenko2016v3-encoding,albert-xxlarge-v1-untrained,0.01707555,0.040001587,4096.0
encoder.albert_layer_groups.4,Fedorenko2016v3-encoding,albert-xxlarge-v1-untrained,0.486968397,0.125604642,4096.0
encoder.albert_layer_groups.5,Fedorenko2016v3-encoding,albert-xxlarge-v1-untrained,0.644455507,0.353500958,4096.0
encoder.albert_layer_groups.6,Fedorenko2016v3-encoding,albert-xxlarge-v1-untrained,0.996697939,0.290287589,4096.0
encoder.albert_layer_groups.7,Fedorenko2016v3-encoding,albert-xxlarge-v1-untrained,1.206850621,0.180505431,4096.0
encoder.albert_layer_groups.8,Fedorenko2016v3-encoding,albert-xxlarge-v1-untrained,1.212179914,0.421190584,4096.0
encoder.albert_layer_groups.9,Fedorenko2016v3-encoding,albert-xxlarge-v1-untrained,1.2313826,0.446942089,4096.0
