,neural,average_language,Pereira2018_linear,Pereira2018.243sentences-linear,Pereira2018.384sentences-linear,behavior_language,Futrell2018-pearsonr
neural,,2.660174303059648e-10,0.0,1.715261266355128e-11,3.5763947359157555e-11,0.9878665662744419,0.9878665662744419
average_language,2.660174303059648e-10,,2.660174303059648e-10,1.7644086192092345e-10,2.1900956563443555e-08,0.8030022586762106,0.8030022586762106
Pereira2018_linear,0.0,2.660174303059648e-10,,1.715261266355128e-11,3.5763947359157555e-11,0.9878665662744419,0.9878665662744419
Pereira2018.243sentences-linear,1.715261266355128e-11,1.7644086192092345e-10,1.715261266355128e-11,,2.1900956563443555e-08,0.9878665662744419,0.9878665662744419
Pereira2018.384sentences-linear,3.5763947359157555e-11,2.1900956563443555e-08,3.5763947359157555e-11,2.1900956563443555e-08,,0.9878665662744419,0.9878665662744419
behavior_language,0.9878665662744419,0.8030022586762106,0.9878665662744419,0.9878665662744419,0.9878665662744419,,0.0
Futrell2018-pearsonr,0.9878665662744419,0.8030022586762106,0.9878665662744419,0.9878665662744419,0.9878665662744419,0.0,
