,neural,average_language,Pereira2018_linear,Pereira2018.243sentences-linear,Pereira2018.384sentences-linear,behavior_language,Futrell2018-pearsonr
neural,0.9999999999997106,0.9970475856187021,0.9999999999997106,0.9984576178212045,0.9981006358534825,0.6386548609823376,0.6386548609823376
average_language,0.9970475856187021,0.9999999999997106,0.9970475856187021,0.9973844723713585,0.9931066868018452,0.7572442997720444,0.7572442997720444
Pereira2018_linear,0.9999999999997106,0.9970475856187021,0.9999999999997106,0.9984576178212045,0.9981006358534825,0.6386548609823376,0.6386548609823376
Pereira2018.243sentences-linear,0.9984576178212045,0.9973844723713585,0.9984576178212045,0.9999999999997106,0.993112887354316,0.6517348485440185,0.6517348485440185
Pereira2018.384sentences-linear,0.9981006358534825,0.9931066868018452,0.9981006358534825,0.993112887354316,0.9999999999997106,0.6262749040642035,0.6262749040642035
behavior_language,0.6386548609823376,0.7572442997720444,0.6386548609823376,0.6517348485440185,0.6262749040642035,0.9999999999997727,0.9999999999997727
Futrell2018-pearsonr,0.6386548609823376,0.7572442997720444,0.6386548609823376,0.6517348485440185,0.6262749040642035,0.9999999999997727,0.9999999999997727
