,neural,average_language,Pereira2018_linear,Pereira2018.243sentences-linear,Pereira2018.384sentences-linear,behavior_language,Futrell2018-pearsonr
neural,0.9999999999965458,0.965331209998208,0.9999999999965458,0.9817501212143184,0.9775696167868154,-0.6204411523089922,-0.6204411523089922
average_language,0.965331209998208,0.9999999999965458,0.9653312099982083,0.9692313516246671,0.9207354406771922,-0.45572113012785925,-0.45572113012785925
Pereira2018_linear,0.9999999999965458,0.9653312099982083,0.9999999999965458,0.9817501212143184,0.9775696167868154,-0.6204411523089922,-0.6204411523089922
Pereira2018.243sentences-linear,0.9817501212143184,0.9692313516246671,0.9817501212143184,0.9999999999965458,0.9208041526810309,-0.606465874666856,-0.606465874666856
Pereira2018.384sentences-linear,0.9775696167868154,0.9207354406771922,0.9775696167868154,0.9208041526810309,0.9999999999965458,-0.6329707435814979,-0.6329707435814979
behavior_language,-0.6204411523089922,-0.45572113012785925,-0.6204411523089922,-0.606465874666856,-0.6329707435814979,0.9999999999956001,0.9999999999956001
Futrell2018-pearsonr,-0.6204411523089922,-0.45572113012785925,-0.6204411523089922,-0.606465874666856,-0.6329707435814979,0.9999999999956001,0.9999999999956001
