,neural,average_language,Pereira2018_linear,Pereira2018.243sentences-linear,Pereira2018.384sentences-linear,behavior_language,Futrell2018-pearsonr
neural,1.0,0.9898383620937907,1.0,0.9946822514619322,0.9934543288142491,0.015087194107977877,0.015087194107977877
average_language,0.9898383620937907,1.0,0.9898383620937908,0.9909941513467058,0.9763883268688662,0.24389650015415978,0.24389650015415978
Pereira2018_linear,1.0,0.9898383620937908,1.0,0.9946822514619322,0.9934543288142491,0.015087194107977877,0.015087194107977877
Pereira2018.243sentences-linear,0.9946822514619322,0.9909941513467058,0.9946822514619322,1.0,0.9764093876341964,0.03748072644382341,0.03748072644382341
Pereira2018.384sentences-linear,0.9934543288142491,0.9763883268688662,0.9934543288142491,0.9764093876341964,1.0,-0.005546883223127691,-0.005546883223127691
behavior_language,0.015087194107977877,0.24389650015415978,0.015087194107977877,0.03748072644382341,-0.005546883223127691,0.9999999999999999,0.9999999999999999
Futrell2018-pearsonr,0.015087194107977877,0.24389650015415978,0.015087194107977877,0.03748072644382341,-0.005546883223127691,0.9999999999999999,0.9999999999999999
