,neural,average_language,Pereira2018_linear,Pereira2018.243sentences-linear,Pereira2018.384sentences-linear,behavior_language,Futrell2018-pearsonr
neural,0.0,1.1400747013112777e-10,0.0,3.2671643168669107e-12,1.0218270674045016e-11,0.9670042741727694,0.9670042741727694
average_language,1.1400747013112777e-10,0.0,1.1400747013112777e-10,5.881362064030782e-11,1.1471929628470434e-08,0.4970966363233684,0.4970966363233684
Pereira2018_linear,0.0,1.1400747013112777e-10,0.0,3.2671643168669107e-12,1.0218270674045016e-11,0.9670042741727694,0.9670042741727694
Pereira2018.243sentences-linear,3.2671643168669107e-12,5.881362064030782e-11,3.2671643168669107e-12,0.0,1.1416225298432892e-08,0.9181259925248737,0.9181259925248737
Pereira2018.384sentences-linear,1.0218270674045016e-11,1.1471929628470434e-08,1.0218270674045016e-11,1.1416225298432892e-08,0.0,0.9878665662744419,0.9878665662744419
behavior_language,0.9670042741727694,0.4970966363233684,0.9670042741727694,0.9181259925248737,0.9878665662744419,0.0,0.0
Futrell2018-pearsonr,0.9670042741727694,0.4970966363233684,0.9670042741727694,0.9181259925248737,0.9878665662744419,0.0,0.0
