rank,model,Pereira2018.243sentences-linear
1,gpt-neo-1.3B,1.0
2,gpt-neo-2.7B,0.98
3,gpt2-xl,0.973
4,gpt2-large,0.922
5,gpt2-medium,0.908
6,gpt2,0.871
7,distilgpt2,0.822
8,openai-gpt,0.804
9,gpt-neo-125m,0.781
10,lm1b,0.593
11,randomembedding-1600,0.244
12,glove-840b,0.242
13,randomembedding-100,0.029
