rank,model,Pereira2018.384sentences-linear
1,gpt2-xl,1.0
2,gpt-neo-2.7B,1.0
3,gpt-neo-1.3B,1.0
4,gpt2-large,0.974
5,gpt2-medium,0.927
6,gpt2,0.828
7,distilgpt2,0.815
8,openai-gpt,0.8
9,gpt-neo-125m,0.788
10,lm1b,0.568
11,randomembedding-1600,0.419
12,randomembedding-100,0.221
13,glove-840b,0.184
