rank,model,Pereira2018_linear
1,gpt-neo-1.3B,1.0
2,gpt-neo-2.7B,0.99
3,gpt2-xl,0.987
4,gpt2-large,0.948
5,gpt2-medium,0.918
6,gpt2,0.85
7,distilgpt2,0.818
8,openai-gpt,0.802
9,gpt-neo-125m,0.784
10,lm1b,0.58
11,randomembedding-1600,0.332
12,glove-840b,0.213
13,randomembedding-100,0.125
